date_level,population,stock number,total portion
"20170414_5,001-10,000",837,"7,107,997",3.23
"20170414_10,001-15,000",313,"4,155,200",1.89
"20170414_15,001-20,000",297,"5,683,000",2.58
"20170414_20,001-30,000",282,"7,493,000",3.41
"20170414_30,001-40,000",160,"5,963,000",2.71
"20170414_40,001-50,000",126,"5,952,000",2.70
"20170414_50,001-100,000",230,"16,786,000",7.64
"20170414_100,001-200,000",114,"16,609,000",7.56
"20170414_200,001-400,000",55,"15,760,000",7.17
"20170414_400,001-600,000",18,"9,142,000",4.16
"20170414_600,001-800,000",5,"3,641,000",1.65
"20170414_800,001-1,000,000",7,"6,456,000",2.93
"20170414_1,000,001以上",15,"109,823,000",49.99
20170414_差異數調整（說明4）, ,"-306,000",-0.13
20170407_1-999,16,"3,642",0.00
"20170407_1,000-5,000","2,504","6,746,733",2.26
"20170407_5,001-10,000","1,148","9,729,419",3.26
"20170407_10,001-15,000",491,"6,548,200",2.19
"20170407_15,001-20,000",459,"8,705,997",2.91
"20170407_20,001-30,000",413,"10,983,009",3.68
"20170407_30,001-40,000",246,"9,113,000",3.05
"20170407_40,001-50,000",183,"8,668,000",2.90
"20170407_50,001-100,000",345,"25,371,000",8.50
"20170407_100,001-200,000",162,"23,323,000",7.82
"20170407_200,001-400,000",89,"25,152,000",8.43
"20170407_400,001-600,000",31,"15,686,000",5.26
"20170407_600,001-800,000",9,"6,380,000",2.13
"20170407_800,001-1,000,000",4,"3,637,000",1.21
"20170407_1,000,001以上",24,"138,140,000",46.32
20170331_1-999,18,"4,588",0.00
"20170331_1,000-5,000","2,821","7,684,105",2.39
"20170331_5,001-10,000","1,315","11,064,784",3.45
"20170331_10,001-15,000",547,"7,298,200",2.27
"20170331_15,001-20,000",570,"10,816,314",3.37
"20170331_20,001-30,000",512,"13,639,009",4.25
"20170331_30,001-40,000",296,"10,922,000",3.41
"20170331_40,001-50,000",214,"10,194,000",3.18
"20170331_50,001-100,000",424,"31,359,000",9.79
"20170331_100,001-200,000",189,"27,452,000",8.57
"20170331_200,001-400,000",98,"27,977,000",8.73
"20170331_400,001-600,000",30,"15,496,000",4.83
"20170331_600,001-800,000",15,"10,753,000",3.35
"20170331_800,001-1,000,000",5,"4,612,000",1.44
"20170331_1,000,001以上",29,"130,915,000",40.88
20170324_1-999,16,"4,977",0.00
"20170324_1,000-5,000","2,884","8,053,716",2.69
"20170324_5,001-10,000","1,341","11,362,784",3.80
"20170324_10,001-15,000",565,"7,496,200",2.50
"20170324_15,001-20,000",566,"10,716,000",3.58
"20170324_20,001-30,000",529,"14,060,323",4.70
"20170324_30,001-40,000",324,"11,949,000",4.00
"20170324_40,001-50,000",221,"10,532,000",3.52
"20170324_50,001-100,000",413,"30,499,000",10.21
"20170324_100,001-200,000",208,"30,449,000",10.19
"20170324_200,001-400,000",101,"28,944,000",9.69
"20170324_400,001-600,000",30,"15,429,000",5.16
"20170324_600,001-800,000",15,"10,725,000",3.59
"20170324_800,001-1,000,000",8,"7,297,000",2.44
"20170324_1,000,001以上",24,"101,169,000",33.87
20170317_1-999,12,"3,496",0.00
"20170317_1,000-5,000","2,736","7,467,996",2.91
"20170317_5,001-10,000","1,299","10,990,484",4.29
"20170317_10,001-15,000",513,"6,827,200",2.66
"20170317_15,001-20,000",516,"9,809,824",3.82
"20170317_20,001-30,000",453,"12,138,000",4.73
"20170317_30,001-40,000",262,"9,726,000",3.79
"20170317_40,001-50,000",204,"9,763,000",3.81
"20170317_50,001-100,000",347,"25,602,000",9.99
"20170317_100,001-200,000",190,"27,572,000",10.76
"20170317_200,001-400,000",97,"28,649,000",11.18
"20170317_400,001-600,000",31,"15,490,000",6.04
"20170317_600,001-800,000",8,"5,623,000",2.19
"20170317_800,001-1,000,000",5,"4,283,000",1.67
"20170317_1,000,001以上",23,"82,242,000",32.10
20170310_1-999,12,"2,507",0.00
"20170310_1,000-5,000","2,298","6,110,799",4.39
"20170310_5,001-10,000",977,"8,290,684",5.95
"20170310_10,001-15,000",348,"4,670,010",3.35
"20170310_15,001-20,000",338,"6,471,000",4.64
"20170310_20,001-30,000",301,"8,099,000",5.81
"20170310_30,001-40,000",176,"6,519,000",4.68
"20170310_40,001-50,000",129,"6,202,000",4.45
"20170310_50,001-100,000",246,"17,670,000",12.69
"20170310_100,001-200,000",135,"20,270,000",14.56
"20170310_200,001-400,000",56,"15,579,000",11.19
"20170310_400,001-600,000",21,"10,563,000",7.58
"20170310_600,001-800,000",8,"5,743,000",4.12
"20170310_800,001-1,000,000",3,"2,650,000",1.90
"20170310_1,000,001以上",9,"20,347,000",14.61
20170303_1-999,10,"1,707",0.00
"20170303_1,000-5,000","1,561","3,908,699",2.90
"20170303_5,001-10,000",531,"4,527,100",3.36
"20170303_10,001-15,000",172,"2,293,494",1.70
"20170303_15,001-20,000",176,"3,370,000",2.50
"20170303_20,001-30,000",160,"4,303,000",3.19
"20170303_30,001-40,000",95,"3,515,000",2.60
"20170303_40,001-50,000",78,"3,740,000",2.77
"20170303_50,001-100,000",122,"8,909,000",6.61
"20170303_100,001-200,000",70,"10,354,000",7.68
"20170303_200,001-400,000",22,"6,513,000",4.83
"20170303_400,001-600,000",12,"6,222,000",4.61
"20170303_600,001-800,000",6,"4,134,000",3.06
"20170303_800,001-1,000,000",3,"2,735,000",2.03
"20170303_1,000,001以上",15,"70,161,000",52.09
20170224_1-999,10,"1,707",0.00
"20170224_1,000-5,000","1,462","3,664,699",2.61
"20170224_5,001-10,000",477,"4,124,110",2.94
"20170224_10,001-15,000",154,"2,089,484",1.49
"20170224_15,001-20,000",153,"2,918,000",2.08
"20170224_20,001-30,000",155,"4,186,000",2.98
"20170224_30,001-40,000",90,"3,341,000",2.38
"20170224_40,001-50,000",69,"3,314,000",2.36
"20170224_50,001-100,000",112,"8,195,000",5.84
"20170224_100,001-200,000",56,"8,258,000",5.89
"20170224_200,001-400,000",31,"8,860,000",6.32
"20170224_400,001-600,000",10,"5,226,000",3.72
"20170224_600,001-800,000",8,"5,524,000",3.94
"20170224_800,001-1,000,000",2,"1,859,000",1.32
"20170224_1,000,001以上",15,"78,626,000",56.08
20170218_1-999,11,"2,306",0.00
"20170218_1,000-5,000","1,667","4,216,300",2.62
"20170218_5,001-10,000",593,"5,045,000",3.13
"20170218_10,001-15,000",216,"2,905,384",1.80
"20170218_15,001-20,000",191,"3,645,010",2.26
"20170218_20,001-30,000",168,"4,476,000",2.78
"20170218_30,001-40,000",112,"4,160,000",2.58
"20170218_40,001-50,000",84,"4,047,000",2.51
"20170218_50,001-100,000",135,"9,945,000",6.18
"20170218_100,001-200,000",72,"10,553,000",6.56
"20170218_200,001-400,000",37,"10,513,000",6.54
"20170218_400,001-600,000",15,"7,689,000",4.78
