date_level,population,stock number,total portion
20170616_1-999,"78,909","21,570,718",0.21
"20170616_1,000-5,000","74,863","177,486,726",1.73
"20170616_5,001-10,000","28,052","201,386,260",1.96
"20170616_10,001-15,000","18,028","215,915,569",2.11
"20170616_15,001-20,000","7,682","136,583,575",1.33
"20170616_20,001-30,000","10,651","258,992,158",2.53
"20170616_30,001-40,000","5,374","186,383,255",1.82
"20170616_40,001-50,000","3,308","150,139,304",1.46
"20170616_50,001-100,000","7,367","511,240,605",4.99
"20170616_100,001-200,000","4,086","558,027,820",5.45
"20170616_200,001-400,000","1,840","503,773,546",4.92
"20170616_400,001-600,000",563,"274,621,895",2.68
"20170616_600,001-800,000",281,"193,792,702",1.89
"20170616_800,001-1,000,000",170,"151,672,866",1.48
"20170616_1,000,001以上",752,"6,686,557,082",65.37
20170609_1-999,"78,928","21,578,198",0.21
"20170609_1,000-5,000","74,923","177,741,768",1.73
"20170609_5,001-10,000","28,087","201,637,417",1.97
"20170609_10,001-15,000","18,064","216,391,133",2.11
"20170609_15,001-20,000","7,685","136,548,327",1.33
"20170609_20,001-30,000","10,681","259,759,382",2.53
"20170609_30,001-40,000","5,386","186,770,062",1.82
"20170609_40,001-50,000","3,319","150,577,952",1.47
"20170609_50,001-100,000","7,381","512,217,535",5.0
"20170609_100,001-200,000","4,094","560,043,901",5.47
"20170609_200,001-400,000","1,837","503,490,115",4.92
"20170609_400,001-600,000",558,"273,394,998",2.67
"20170609_600,001-800,000",279,"192,244,318",1.87
"20170609_800,001-1,000,000",168,"150,312,764",1.46
"20170609_1,000,001以上",750,"6,685,436,211",65.36
20170603_1-999,"79,011","21,604,215",0.21
"20170603_1,000-5,000","74,940","177,719,328",1.73
"20170603_5,001-10,000","28,104","201,685,713",1.97
"20170603_10,001-15,000","18,086","216,599,250",2.11
"20170603_15,001-20,000","7,686","136,542,282",1.33
"20170603_20,001-30,000","10,649","258,767,233",2.52
"20170603_30,001-40,000","5,368","186,097,217",1.81
"20170603_40,001-50,000","3,308","150,010,969",1.46
"20170603_50,001-100,000","7,353","509,673,737",4.98
"20170603_100,001-200,000","4,078","556,700,320",5.44
"20170603_200,001-400,000","1,832","500,798,093",4.89
"20170603_400,001-600,000",562,"276,159,294",2.69
"20170603_600,001-800,000",279,"192,615,557",1.88
"20170603_800,001-1,000,000",163,"145,598,167",1.42
"20170603_1,000,001以上",747,"6,697,572,706",65.48
20170526_1-999,"79,133","21,642,963",0.21
"20170526_1,000-5,000","74,855","177,422,768",1.73
"20170526_5,001-10,000","28,021","200,871,328",1.96
"20170526_10,001-15,000","18,061","216,259,895",2.11
"20170526_15,001-20,000","7,589","134,706,871",1.31
"20170526_20,001-30,000","10,608","257,472,252",2.51
"20170526_30,001-40,000","5,329","184,736,526",1.8
"20170526_40,001-50,000","3,307","149,887,242",1.46
"20170526_50,001-100,000","7,290","505,353,204",4.94
"20170526_100,001-200,000","4,047","552,196,434",5.39
"20170526_200,001-400,000","1,823","497,623,454",4.86
"20170526_400,001-600,000",566,"277,790,140",2.71
"20170526_600,001-800,000",274,"188,806,456",1.84
"20170526_800,001-1,000,000",167,"149,302,476",1.45
"20170526_1,000,001以上",742,"6,714,072,072",65.64
20170519_1-999,"79,358","21,701,487",0.21
"20170519_1,000-5,000","74,610","176,599,010",1.72
"20170519_5,001-10,000","27,819","199,211,728",1.94
"20170519_10,001-15,000","18,018","215,620,262",2.1
"20170519_15,001-20,000","7,530","133,541,694",1.3
"20170519_20,001-30,000","10,518","255,122,751",2.49
"20170519_30,001-40,000","5,282","182,986,169",1.78
"20170519_40,001-50,000","3,297","149,460,352",1.46
"20170519_50,001-100,000","7,204","499,654,519",4.88
"20170519_100,001-200,000","3,993","544,658,824",5.32
"20170519_200,001-400,000","1,801","491,408,618",4.8
"20170519_400,001-600,000",553,"270,975,486",2.64
"20170519_600,001-800,000",274,"188,670,511",1.84
"20170519_800,001-1,000,000",163,"145,802,934",1.42
"20170519_1,000,001以上",744,"6,752,729,736",66.02
20170512_1-999,"79,424","21,729,314",0.21
"20170512_1,000-5,000","74,674","176,762,278",1.72
"20170512_5,001-10,000","27,857","199,435,448",1.94
"20170512_10,001-15,000","18,054","216,086,053",2.11
"20170512_15,001-20,000","7,489","132,760,352",1.29
"20170512_20,001-30,000","10,533","255,321,328",2.49
"20170512_30,001-40,000","5,310","183,969,538",1.79
"20170512_40,001-50,000","3,297","149,445,149",1.46
"20170512_50,001-100,000","7,203","499,561,862",4.88
"20170512_100,001-200,000","4,012","546,584,894",5.34
"20170512_200,001-400,000","1,811","494,198,616",4.83
"20170512_400,001-600,000",547,"268,409,363",2.62
"20170512_600,001-800,000",274,"189,201,575",1.84
"20170512_800,001-1,000,000",159,"142,246,724",1.39
"20170512_1,000,001以上",755,"6,752,431,587",66.01
20170505_1-999,"79,478","21,751,117",0.21
"20170505_1,000-5,000","74,758","176,865,440",1.72
"20170505_5,001-10,000","27,828","199,079,758",1.94
"20170505_10,001-15,000","18,096","216,542,486",2.11
"20170505_15,001-20,000","7,509","133,141,250",1.3
"20170505_20,001-30,000","10,531","255,315,742",2.49
"20170505_30,001-40,000","5,301","183,550,654",1.79
"20170505_40,001-50,000","3,279","148,616,285",1.45
"20170505_50,001-100,000","7,231","501,863,499",4.9
"20170505_100,001-200,000","3,992","543,505,064",5.31
"20170505_200,001-400,000","1,795","489,517,072",4.78
"20170505_400,001-600,000",549,"269,013,444",2.63
"20170505_600,001-800,000",276,"190,491,188",1.86
"20170505_800,001-1,000,000",151,"135,177,108",1.32
"20170505_1,000,001以上",757,"6,763,713,974",66.12
20170428_1-999,"79,517","21,746,860",0.21
"20170428_1,000-5,000","74,838","177,097,197",1.73
"20170428_5,001-10,000","27,838","199,127,535",1.94
"20170428_10,001-15,000","18,099","216,529,663",2.11
"20170428_15,001-20,000","7,481","132,602,514",1.29
"20170428_20,001-30,000","10,546","255,691,682",2.49
"20170428_30,001-40,000","5,290","183,211,469",1.79
"20170428_40,001-50,000","3,283","148,804,068",1.45
"20170428_50,001-100,000","7,221","500,943,714",4.89
"20170428_100,001-200,000","4,001","544,193,829",5.32
"20170428_200,001-400,000","1,799","490,995,845",4.8
"20170428_400,001-600,000",543,"265,919,214",2.59
"20170428_600,001-800,000",273,"188,311,503",1.84
"20170428_800,001-1,000,000",156,"139,483,412",1.36
"20170428_1,000,001以上",753,"6,763,485,576",66.12
20170421_1-999,"79,567","21,756,214",0.21
"20170421_1,000-5,000","74,932","177,302,410",1.73
"20170421_5,001-10,000","27,871","199,368,180",1.94
"20170421_10,001-15,000","18,135","217,014,457",2.12
"20170421_15,001-20,000","7,496","132,881,432",1.29
"20170421_20,001-30,000","10,541","255,628,110",2.49
"20170421_30,001-40,000","5,300","183,600,784",1.79
"20170421_40,001-50,000","3,289","149,043,299",1.45
"20170421_50,001-100,000","7,239","502,179,708",4.9
"20170421_100,001-200,000","4,013","544,923,207",5.32
"20170421_200,001-400,000","1,796","490,271,009",4.79
"20170421_400,001-600,000",542,"265,175,824",2.59
"20170421_600,001-800,000",275,"189,945,511",1.85
"20170421_800,001-1,000,000",159,"142,573,602",1.39
"20170421_1,000,001以上",749,"6,756,480,334",66.05
20170414_1-999,"79,702","21,791,233",0.21
"20170414_1,000-5,000","74,877","177,029,039",1.73
"20170414_5,001-10,000","27,768","198,449,043",1.94
"20170414_10,001-15,000","18,072","216,166,148",2.11
"20170414_15,001-20,000","7,460","132,217,312",1.29
"20170414_20,001-30,000","10,501","254,656,405",2.48
"20170414_30,001-40,000","5,270","182,383,665",1.78
"20170414_40,001-50,000","3,288","149,012,967",1.45
"20170414_50,001-100,000","7,216","499,980,632",4.88
"20170414_100,001-200,000","3,998","544,136,825",5.31
"20170414_200,001-400,000","1,778","484,761,023",4.73
"20170414_400,001-600,000",543,"265,685,265",2.59
"20170414_600,001-800,000",265,"183,445,827",1.79
"20170414_800,001-1,000,000",159,"142,666,883",1.39
"20170414_1,000,001以上",741,"6,775,761,814",66.24
20170407_1-999,"79,648","21,764,469",0.21
"20170407_1,000-5,000","74,932","177,179,144",1.73
"20170407_5,001-10,000","27,856","199,244,486",1.94
"20170407_10,001-15,000","18,086","216,269,318",2.11
"20170407_15,001-20,000","7,488","132,662,490",1.29
"20170407_20,001-30,000","10,549","256,144,984",2.5
"20170407_30,001-40,000","5,259","181,928,114",1.77
"20170407_40,001-50,000","3,311","150,176,489",1.46
"20170407_50,001-100,000","7,217","499,354,988",4.88
"20170407_100,001-200,000","4,017","545,630,040",5.33
"20170407_200,001-400,000","1,778","484,685,648",4.73
"20170407_400,001-600,000",547,"267,657,234",2.61
"20170407_600,001-800,000",268,"185,701,147",1.81
"20170407_800,001-1,000,000",156,"139,702,752",1.36
"20170407_1,000,001以上",743,"6,770,042,778",66.19
20170331_1-999,"79,614","21,751,632",0.21
"20170331_1,000-5,000","75,180","177,968,381",1.73
"20170331_5,001-10,000","27,986","200,411,609",1.95
"20170331_10,001-15,000","18,146","217,005,644",2.12
"20170331_15,001-20,000","7,540","133,661,648",1.3
"20170331_20,001-30,000","10,570","256,601,586",2.5
"20170331_30,001-40,000","5,299","183,405,377",1.79
"20170331_40,001-50,000","3,337","151,422,172",1.48
"20170331_50,001-100,000","7,259","502,759,098",4.91
"20170331_100,001-200,000","4,036","548,085,596",5.35
"20170331_200,001-400,000","1,797","489,931,894",4.79
"20170331_400,001-600,000",547,"267,888,341",2.61
"20170331_600,001-800,000",269,"186,475,537",1.82
"20170331_800,001-1,000,000",164,"147,231,582",1.43
"20170331_1,000,001以上",737,"6,743,543,984",65.93
20170324_1-999,"79,520","21,713,818",0.21
"20170324_1,000-5,000","75,463","178,842,729",1.74
"20170324_5,001-10,000","28,218","202,362,985",1.97
"20170324_10,001-15,000","18,244","218,323,870",2.13
"20170324_15,001-20,000","7,667","136,069,364",1.33
"20170324_20,001-30,000","10,682","259,669,555",2.53
"20170324_30,001-40,000","5,356","185,628,693",1.81
"20170324_40,001-50,000","3,348","151,971,194",1.48
"20170324_50,001-100,000","7,398","513,068,756",5.01
"20170324_100,001-200,000","4,098","556,395,092",5.43
"20170324_200,001-400,000","1,812","493,706,294",4.82
"20170324_400,001-600,000",558,"273,284,139",2.67
"20170324_600,001-800,000",282,"195,398,747",1.91
"20170324_800,001-1,000,000",165,"148,630,365",1.45
"20170324_1,000,001以上",742,"6,693,078,480",65.43
20170317_1-999,"78,993","21,541,515",0.21
"20170317_1,000-5,000","76,234","181,587,199",1.77
"20170317_5,001-10,000","29,017","209,001,566",2.04
"20170317_10,001-15,000","18,611","222,880,015",2.17
"20170317_15,001-20,000","8,031","142,882,955",1.39
"20170317_20,001-30,000","11,094","270,160,863",2.64
"20170317_30,001-40,000","5,471","189,886,783",1.85
"20170317_40,001-50,000","3,493","158,582,601",1.55
"20170317_50,001-100,000","7,631","530,183,323",5.18
"20170317_100,001-200,000","4,257","579,319,695",5.66
"20170317_200,001-400,000","1,883","514,302,775",5.02
"20170317_400,001-600,000",557,"273,012,188",2.66
"20170317_600,001-800,000",296,"204,651,917",2.0
"20170317_800,001-1,000,000",165,"148,587,601",1.45
"20170317_1,000,001以上",752,"6,581,563,085",64.34
20170310_1-999,"78,925","21,516,520",0.21
"20170310_1,000-5,000","76,702","182,898,737",1.78
"20170310_5,001-10,000","29,294","211,361,393",2.06
"20170310_10,001-15,000","18,773","224,892,836",2.19
"20170310_15,001-20,000","8,153","145,266,001",1.42
"20170310_20,001-30,000","11,159","271,846,038",2.65
"20170310_30,001-40,000","5,526","191,769,166",1.87
"20170310_40,001-50,000","3,533","160,516,081",1.56
"20170310_50,001-100,000","7,761","539,681,216",5.27
"20170310_100,001-200,000","4,268","581,071,945",5.68
"20170310_200,001-400,000","1,886","514,324,920",5.02
"20170310_400,001-600,000",567,"278,322,896",2.72
"20170310_600,001-800,000",307,"212,803,710",2.08
"20170310_800,001-1,000,000",164,"147,608,601",1.44
"20170310_1,000,001以上",748,"6,544,264,021",63.98
20170303_1-999,"78,897","21,519,434",0.21
"20170303_1,000-5,000","76,734","182,959,836",1.78
"20170303_5,001-10,000","29,371","211,865,979",2.07
"20170303_10,001-15,000","18,810","225,308,224",2.2
"20170303_15,001-20,000","8,154","145,266,619",1.42
"20170303_20,001-30,000","11,178","272,209,831",2.66
"20170303_30,001-40,000","5,539","192,254,656",1.87
"20170303_40,001-50,000","3,535","160,575,638",1.56
"20170303_50,001-100,000","7,766","539,907,518",5.27
"20170303_100,001-200,000","4,272","581,381,193",5.68
"20170303_200,001-400,000","1,884","513,454,537",5.02
"20170303_400,001-600,000",558,"273,782,166",2.67
"20170303_600,001-800,000",305,"210,393,420",2.05
"20170303_800,001-1,000,000",160,"143,520,025",1.4
"20170303_1,000,001以上",749,"6,553,745,005",64.07
20170224_1-999,"78,914","21,535,102",0.21
"20170224_1,000-5,000","76,700","182,740,849",1.78
"20170224_5,001-10,000","29,350","211,577,709",2.06
"20170224_10,001-15,000","18,797","225,162,977",2.2
