date_level,population,stock number,total portion
"20170414_5,001-10,000","2,080","13,582,895",6.51
"20170414_10,001-15,000",967,"10,804,781",5.18
"20170414_15,001-20,000",300,"5,093,934",2.44
"20170414_20,001-30,000",389,"9,011,739",4.32
"20170414_30,001-40,000",126,"4,204,665",2.01
"20170414_40,001-50,000",93,"4,068,409",1.95
"20170414_50,001-100,000",204,"13,852,984",6.64
"20170414_100,001-200,000",83,"11,570,882",5.55
"20170414_200,001-400,000",39,"11,086,847",5.31
"20170414_400,001-600,000",25,"12,145,985",5.82
"20170414_600,001-800,000",12,"8,018,600",3.84
"20170414_800,001-1,000,000",6,"5,445,160",2.61
"20170414_1,000,001以上",24,"79,835,649",38.30
20170407_1-999,"12,326","738,900",0.35
"20170407_1,000-5,000","9,641","19,031,419",9.13
"20170407_5,001-10,000","2,078","13,555,146",6.50
"20170407_10,001-15,000",971,"10,838,993",5.19
"20170407_15,001-20,000",299,"5,078,432",2.43
"20170407_20,001-30,000",390,"8,999,823",4.31
"20170407_30,001-40,000",125,"4,176,983",2.00
"20170407_40,001-50,000",96,"4,213,609",2.02
"20170407_50,001-100,000",206,"13,907,446",6.67
"20170407_100,001-200,000",82,"11,411,200",5.47
"20170407_200,001-400,000",38,"10,849,847",5.20
"20170407_400,001-600,000",24,"11,721,985",5.62
"20170407_600,001-800,000",13,"8,705,600",4.17
"20170407_800,001-1,000,000",5,"4,500,160",2.15
"20170407_1,000,001以上",25,"80,715,649",38.72
20170331_1-999,"12,178","741,572",0.35
"20170331_1,000-5,000","9,628","19,001,227",9.11
"20170331_5,001-10,000","2,083","13,589,197",6.51
"20170331_10,001-15,000",970,"10,820,213",5.19
"20170331_15,001-20,000",305,"5,186,841",2.48
"20170331_20,001-30,000",390,"8,990,823",4.31
"20170331_30,001-40,000",121,"4,046,103",1.94
"20170331_40,001-50,000",97,"4,262,569",2.04
"20170331_50,001-100,000",205,"13,749,071",6.59
"20170331_100,001-200,000",83,"11,522,335",5.52
"20170331_200,001-400,000",39,"11,087,847",5.31
"20170331_400,001-600,000",25,"12,279,985",5.89
"20170331_600,001-800,000",12,"8,071,600",3.87
"20170331_800,001-1,000,000",5,"4,536,160",2.17
"20170331_1,000,001以上",25,"80,559,649",38.64
20170324_1-999,"12,102","747,164",0.35
"20170324_1,000-5,000","9,670","19,022,082",9.12
"20170324_5,001-10,000","2,069","13,468,634",6.46
"20170324_10,001-15,000",960,"10,702,897",5.13
"20170324_15,001-20,000",302,"5,145,801",2.46
"20170324_20,001-30,000",394,"9,105,425",4.36
"20170324_30,001-40,000",124,"4,163,333",1.99
"20170324_40,001-50,000",92,"3,998,309",1.91
"20170324_50,001-100,000",206,"13,739,671",6.59
"20170324_100,001-200,000",83,"11,585,875",5.55
"20170324_200,001-400,000",40,"11,252,607",5.39
"20170324_400,001-600,000",26,"12,874,985",6.17
"20170324_600,001-800,000",11,"7,441,600",3.57
"20170324_800,001-1,000,000",5,"4,494,160",2.15
"20170324_1,000,001以上",25,"80,702,649",38.71
20170317_1-999,"11,767","749,351",0.35
"20170317_1,000-5,000","9,663","18,998,368",9.11
"20170317_5,001-10,000","2,064","13,411,433",6.43
"20170317_10,001-15,000",957,"10,656,140",5.11
"20170317_15,001-20,000",302,"5,124,283",2.45
"20170317_20,001-30,000",391,"9,028,808",4.33
"20170317_30,001-40,000",123,"4,132,993",1.98
"20170317_40,001-50,000",95,"4,133,049",1.98
"20170317_50,001-100,000",203,"13,567,891",6.50
"20170317_100,001-200,000",84,"11,628,740",5.57
"20170317_200,001-400,000",42,"11,680,742",5.60
"20170317_400,001-600,000",27,"13,320,985",6.39
"20170317_600,001-800,000",11,"7,337,600",3.52
"20170317_800,001-1,000,000",4,"3,632,160",1.74
