date_level,population,stock number,total portion
20170609_1-999,170,"41,887",0.01
"20170609_1,000-5,000","10,339","26,676,922",9.43
"20170609_5,001-10,000","3,374","28,393,717",10.03
"20170609_10,001-15,000","1,175","15,572,666",5.50
"20170609_15,001-20,000","1,131","21,553,218",7.62
"20170609_20,001-30,000",861,"22,992,000",8.12
"20170609_30,001-40,000",415,"15,337,500",5.42
"20170609_40,001-50,000",315,"15,056,000",5.32
"20170609_50,001-100,000",492,"36,496,000",12.90
"20170609_100,001-200,000",199,"28,988,264",10.24
"20170609_200,001-400,000",88,"25,458,000",9.00
"20170609_400,001-600,000",20,"9,649,000",3.41
"20170609_600,001-800,000",10,"6,790,000",2.40
"20170609_800,001-1,000,000",3,"2,639,826",0.93
"20170609_1,000,001以上",8,"27,176,000",9.60
20170603_1-999,163,"40,665",0.01
"20170603_1,000-5,000","8,988","22,646,831",9.42
"20170603_5,001-10,000","2,741","23,050,392",9.59
"20170603_10,001-15,000",904,"11,980,532",4.98
"20170603_15,001-20,000",855,"16,352,050",6.80
"20170603_20,001-30,000",664,"17,804,000",7.40
"20170603_30,001-40,000",332,"12,253,500",5.09
"20170603_40,001-50,000",234,"11,189,000",4.65
"20170603_50,001-100,000",372,"27,750,000",11.54
"20170603_100,001-200,000",158,"22,465,999",9.34
"20170603_200,001-400,000",65,"19,227,000",8.00
"20170603_400,001-600,000",23,"11,071,000",4.60
"20170603_600,001-800,000",7,"4,798,000",1.99
"20170603_800,001-1,000,000",1,"942,205",0.39
"20170603_1,000,001以上",12,"38,749,826",16.12
20170526_1-999,154,"36,980",0.01
"20170526_1,000-5,000","8,468","21,217,361",8.66
"20170526_5,001-10,000","2,521","21,124,338",8.62
"20170526_10,001-15,000",814,"10,788,344",4.40
"20170526_15,001-20,000",789,"15,101,600",6.16
"20170526_20,001-30,000",615,"16,506,000",6.74
"20170526_30,001-40,000",296,"10,934,500",4.46
"20170526_40,001-50,000",227,"10,850,000",4.43
"20170526_50,001-100,000",337,"25,390,000",10.37
"20170526_100,001-200,000",146,"20,600,999",8.41
"20170526_200,001-400,000",64,"19,001,000",7.76
"20170526_400,001-600,000",22,"10,652,000",4.35
"20170526_600,001-800,000",6,"4,147,000",1.69
"20170526_800,001-1,000,000",0,0,0.00
"20170526_1,000,001以上",12,"58,482,878",23.88
20170526_差異數調整（說明4）, ,"-12,000",-0.00
20170519_1-999,156,"37,820",0.01
"20170519_1,000-5,000","9,426","23,787,856",8.54
"20170519_5,001-10,000","2,921","24,515,126",8.80
"20170519_10,001-15,000",984,"13,024,465",4.67
"20170519_15,001-20,000",944,"18,044,927",6.48
"20170519_20,001-30,000",716,"19,183,000",6.89
"20170519_30,001-40,000",350,"12,916,500",4.64
"20170519_40,001-50,000",251,"12,002,000",4.31
"20170519_50,001-100,000",396,"30,033,000",10.79
"20170519_100,001-200,000",170,"24,577,999",8.83
"20170519_200,001-400,000",70,"20,532,000",7.37
"20170519_400,001-600,000",26,"12,839,000",4.61
