date_level,population,stock number,total portion
20170609_1-999,"50,249","9,574,574",0.66
"20170609_1,000-5,000","31,335","71,473,300",4.99
"20170609_5,001-10,000","9,293","63,900,172",4.47
"20170609_10,001-15,000","5,079","58,553,558",4.09
"20170609_15,001-20,000","1,890","33,142,462",2.31
"20170609_20,001-30,000","2,513","59,262,413",4.14
"20170609_30,001-40,000","1,193","40,641,590",2.84
"20170609_40,001-50,000",663,"29,831,181",2.08
"20170609_50,001-100,000","1,310","90,483,474",6.32
"20170609_100,001-200,000",627,"84,755,328",5.92
"20170609_200,001-400,000",264,"70,956,134",4.96
"20170609_400,001-600,000",94,"46,321,508",3.24
"20170609_600,001-800,000",29,"19,626,082",1.37
"20170609_800,001-1,000,000",25,"22,583,268",1.57
"20170609_1,000,001以上",86,"728,388,414",50.95
20170603_1-999,"50,238","9,576,651",0.66
"20170603_1,000-5,000","31,218","71,196,783",4.98
"20170603_5,001-10,000","9,217","63,174,638",4.41
"20170603_10,001-15,000","5,104","58,846,029",4.11
"20170603_15,001-20,000","1,859","32,504,844",2.27
"20170603_20,001-30,000","2,502","58,944,401",4.12
"20170603_30,001-40,000","1,195","40,725,839",2.84
"20170603_40,001-50,000",670,"30,145,617",2.10
"20170603_50,001-100,000","1,314","90,334,250",6.31
"20170603_100,001-200,000",625,"83,836,363",5.86
"20170603_200,001-400,000",275,"73,710,381",5.15
"20170603_400,001-600,000",95,"46,897,611",3.28
"20170603_600,001-800,000",29,"19,741,882",1.38
"20170603_800,001-1,000,000",23,"20,920,568",1.46
"20170603_1,000,001以上",86,"728,937,601",50.99
20170526_1-999,"50,280","9,593,581",0.67
"20170526_1,000-5,000","31,211","71,109,270",4.97
"20170526_5,001-10,000","9,212","63,083,614",4.41
"20170526_10,001-15,000","5,095","58,737,601",4.10
"20170526_15,001-20,000","1,852","32,364,055",2.26
"20170526_20,001-30,000","2,497","58,763,042",4.11
"20170526_30,001-40,000","1,195","40,693,469",2.84
"20170526_40,001-50,000",676,"30,397,655",2.12
"20170526_50,001-100,000","1,306","89,671,849",6.27
"20170526_100,001-200,000",626,"83,928,513",5.87
"20170526_200,001-400,000",271,"72,729,831",5.08
"20170526_400,001-600,000",92,"45,315,661",3.17
"20170526_600,001-800,000",28,"19,066,131",1.33
"20170526_800,001-1,000,000",27,"24,335,518",1.70
"20170526_1,000,001以上",87,"729,703,668",51.04
20170519_1-999,"50,259","9,592,170",0.67
"20170519_1,000-5,000","31,286","71,287,499",4.98
"20170519_5,001-10,000","9,206","62,999,099",4.40
"20170519_10,001-15,000","5,097","58,736,535",4.10
"20170519_15,001-20,000","1,850","32,313,060",2.26
"20170519_20,001-30,000","2,508","59,041,459",4.13
"20170519_30,001-40,000","1,194","40,674,885",2.84
"20170519_40,001-50,000",671,"30,135,204",2.10
"20170519_50,001-100,000","1,306","89,873,238",6.28
"20170519_100,001-200,000",620,"83,010,013",5.80
"20170519_200,001-400,000",274,"73,724,134",5.15
"20170519_400,001-600,000",92,"45,048,661",3.15
"20170519_600,001-800,000",29,"19,637,582",1.37
"20170519_800,001-1,000,000",23,"20,724,418",1.44
"20170519_1,000,001以上",90,"732,695,501",51.25
20170512_1-999,"50,249","9,597,521",0.67
"20170512_1,000-5,000","31,260","71,187,230",4.97
"20170512_5,001-10,000","9,211","62,992,348",4.40
"20170512_10,001-15,000","5,116","58,959,936",4.12
"20170512_15,001-20,000","1,853","32,367,196",2.26
