date_level,population,stock number,total portion
"20170428_1,000,001以上",591,"8,415,939,088",66.66
20170421_1-999,"194,401","61,508,619",0.48
"20170421_1,000-5,000","238,721","567,980,930",4.49
"20170421_5,001-10,000","66,525","501,780,903",3.97
"20170421_10,001-15,000","24,750","305,269,250",2.41
"20170421_15,001-20,000","14,990","270,737,625",2.14
"20170421_20,001-30,000","14,025","348,589,021",2.76
"20170421_30,001-40,000","6,425","225,513,026",1.78
"20170421_40,001-50,000","4,359","199,701,790",1.58
"20170421_50,001-100,000","7,318","520,134,234",4.12
"20170421_100,001-200,000","3,154","441,357,971",3.49
"20170421_200,001-400,000","1,325","365,726,166",2.89
"20170421_400,001-600,000",411,"203,223,566",1.6
"20170421_600,001-800,000",159,"111,337,536",0.88
"20170421_800,001-1,000,000",106,"96,313,049",0.76
"20170421_1,000,001以上",594,"8,405,145,029",66.57
20170414_1-999,"194,470","61,565,068",0.48
"20170414_1,000-5,000","239,029","568,489,756",4.5
"20170414_5,001-10,000","66,581","502,089,328",3.97
"20170414_10,001-15,000","24,770","305,487,338",2.41
"20170414_15,001-20,000","14,980","270,540,948",2.14
"20170414_20,001-30,000","13,995","347,741,244",2.75
"20170414_30,001-40,000","6,400","224,605,095",1.77
"20170414_40,001-50,000","4,384","201,022,267",1.59
"20170414_50,001-100,000","7,293","517,872,254",4.1
"20170414_100,001-200,000","3,142","440,229,762",3.48
"20170414_200,001-400,000","1,308","361,292,045",2.86
"20170414_400,001-600,000",412,"204,221,691",1.61
"20170414_600,001-800,000",163,"114,397,203",0.9
"20170414_800,001-1,000,000",102,"92,587,610",0.73
"20170414_1,000,001以上",590,"8,412,177,106",66.63
20170407_1-999,"194,466","61,654,557",0.48
"20170407_1,000-5,000","239,336","569,330,204",4.5
"20170407_5,001-10,000","66,671","502,826,058",3.98
"20170407_10,001-15,000","24,743","305,157,832",2.41
"20170407_15,001-20,000","15,004","270,971,742",2.14
"20170407_20,001-30,000","13,985","347,428,471",2.75
"20170407_30,001-40,000","6,387","224,055,539",1.77
"20170407_40,001-50,000","4,372","200,417,399",1.58
"20170407_50,001-100,000","7,280","516,904,961",4.09
"20170407_100,001-200,000","3,108","435,929,834",3.45
"20170407_200,001-400,000","1,299","358,352,114",2.83
"20170407_400,001-600,000",418,"206,537,911",1.63
"20170407_600,001-800,000",156,"109,178,090",0.86
"20170407_800,001-1,000,000",101,"91,626,610",0.72
"20170407_1,000,001以上",588,"8,423,947,393",66.72
20170331_1-999,"194,049","61,702,122",0.48
"20170331_1,000-5,000","239,036","569,316,936",4.5
"20170331_5,001-10,000","66,711","503,144,595",3.98
"20170331_10,001-15,000","24,769","305,465,789",2.41
"20170331_15,001-20,000","14,997","270,844,934",2.14
"20170331_20,001-30,000","14,002","347,976,449",2.75
"20170331_30,001-40,000","6,401","224,581,143",1.77
"20170331_40,001-50,000","4,358","199,713,054",1.58
"20170331_50,001-100,000","7,272","516,163,340",4.08
"20170331_100,001-200,000","3,103","434,997,138",3.44
"20170331_200,001-400,000","1,297","357,755,462",2.83
"20170331_400,001-600,000",418,"206,353,398",1.63
"20170331_600,001-800,000",154,"107,960,747",0.85
"20170331_800,001-1,000,000",101,"91,748,822",0.72
"20170331_1,000,001以上",586,"8,426,594,786",66.74
20170324_1-999,"193,466","61,777,133",0.48
"20170324_1,000-5,000","239,056","569,554,698",4.51
"20170324_5,001-10,000","66,748","503,456,887",3.98
"20170324_10,001-15,000","24,801","305,848,588",2.42
"20170324_15,001-20,000","14,983","270,629,917",2.14
"20170324_20,001-30,000","13,943","346,422,012",2.74
"20170324_30,001-40,000","6,407","224,746,269",1.78
"20170324_40,001-50,000","4,338","198,725,986",1.57
"20170324_50,001-100,000","7,228","512,420,619",4.05
"20170324_100,001-200,000","3,090","433,108,882",3.43
"20170324_200,001-400,000","1,286","355,137,155",2.81
"20170324_400,001-600,000",411,"203,257,352",1.61
"20170324_600,001-800,000",154,"107,749,429",0.85
"20170324_800,001-1,000,000",106,"96,046,639",0.76
"20170324_1,000,001以上",585,"8,435,437,149",66.81
20170317_1-999,"192,738","61,864,959",0.49
"20170317_1,000-5,000","239,269","570,382,443",4.51
"20170317_5,001-10,000","66,842","504,257,949",3.99
"20170317_10,001-15,000","24,814","305,906,439",2.42
"20170317_15,001-20,000","15,010","271,117,411",2.14
"20170317_20,001-30,000","13,984","347,515,597",2.75
"20170317_30,001-40,000","6,392","224,143,294",1.77
"20170317_40,001-50,000","4,362","199,851,413",1.58
"20170317_50,001-100,000","7,219","511,740,140",4.05
"20170317_100,001-200,000","3,071","429,156,540",3.39
"20170317_200,001-400,000","1,291","356,441,674",2.82
"20170317_400,001-600,000",408,"201,643,038",1.59
"20170317_600,001-800,000",153,"107,070,313",0.84
"20170317_800,001-1,000,000",111,"100,825,817",0.79
"20170317_1,000,001以上",583,"8,432,401,688",66.79
20170310_1-999,"192,517","61,939,291",0.49
"20170310_1,000-5,000","239,771","571,626,919",4.52
"20170310_5,001-10,000","66,961","505,202,545",4.0
"20170310_10,001-15,000","24,893","306,926,552",2.43
"20170310_15,001-20,000","15,073","272,336,452",2.15
"20170310_20,001-30,000","13,968","347,133,238",2.74
"20170310_30,001-40,000","6,400","224,526,424",1.77
"20170310_40,001-50,000","4,356","199,538,370",1.58
"20170310_50,001-100,000","7,247","514,269,135",4.07
"20170310_100,001-200,000","3,087","430,864,145",3.41
"20170310_200,001-400,000","1,292","356,628,159",2.82
"20170310_400,001-600,000",399,"197,371,975",1.56
"20170310_600,001-800,000",159,"110,874,594",0.87
"20170310_800,001-1,000,000",111,"100,684,736",0.79
"20170310_1,000,001以上",580,"8,424,396,180",66.73
20170303_1-999,"192,518","62,036,789",0.49
"20170303_1,000-5,000","239,016","569,469,031",4.51
"20170303_5,001-10,000","66,766","503,515,756",3.98
"20170303_10,001-15,000","24,754","305,087,147",2.41
"20170303_15,001-20,000","14,945","269,971,807",2.13
"20170303_20,001-30,000","13,900","345,214,569",2.73
"20170303_30,001-40,000","6,365","223,186,948",1.76
"20170303_40,001-50,000","4,336","198,538,660",1.57
"20170303_50,001-100,000","7,161","508,211,135",4.02
"20170303_100,001-200,000","3,042","424,399,252",3.36
"20170303_200,001-400,000","1,270","351,122,538",2.78
"20170303_400,001-600,000",398,"197,051,637",1.56
"20170303_600,001-800,000",154,"107,181,869",0.84
"20170303_800,001-1,000,000",110,"99,515,990",0.78
"20170303_1,000,001以上",585,"8,459,815,587",67.01
20170224_1-999,"192,608","62,112,808",0.49
"20170224_1,000-5,000","236,711","563,944,829",4.46
"20170224_5,001-10,000","66,080","496,795,229",3.93
"20170224_10,001-15,000","24,743","305,021,992",2.41
"20170224_15,001-20,000","14,808","266,923,193",2.11
"20170224_20,001-30,000","13,845","343,486,438",2.72
"20170224_30,001-40,000","6,372","223,314,069",1.76
"20170224_40,001-50,000","4,333","198,260,342",1.57
"20170224_50,001-100,000","7,238","513,268,698",4.06
"20170224_100,001-200,000","3,057","426,175,290",3.37
"20170224_200,001-400,000","1,330","368,938,077",2.92
"20170224_400,001-600,000",393,"194,692,254",1.54
"20170224_600,001-800,000",147,"101,921,056",0.8
"20170224_800,001-1,000,000",107,"96,989,137",0.76
"20170224_1,000,001以上",585,"8,462,475,303",67.03
20170218_1-999,"192,673","62,204,467",0.49
"20170218_1,000-5,000","236,706","564,022,187",4.46
"20170218_5,001-10,000","66,152","497,315,600",3.93
"20170218_10,001-15,000","24,738","304,944,492",2.41
"20170218_15,001-20,000","14,816","267,005,295",2.11
"20170218_20,001-30,000","13,871","344,258,605",2.72
"20170218_30,001-40,000","6,352","222,634,360",1.76
"20170218_40,001-50,000","4,325","197,807,867",1.56
"20170218_50,001-100,000","7,240","513,371,509",4.06
"20170218_100,001-200,000","3,048","424,884,406",3.36
"20170218_200,001-400,000","1,319","365,271,223",2.89
"20170218_400,001-600,000",399,"197,934,843",1.56
"20170218_600,001-800,000",148,"102,252,265",0.8
"20170218_800,001-1,000,000",110,"99,636,865",0.78
"20170218_1,000,001以上",587,"8,460,774,731",67.01
20170210_1-999,"192,706","62,325,985",0.49
"20170210_1,000-5,000","237,353","565,814,876",4.48
"20170210_5,001-10,000","66,532","500,412,025",3.96
"20170210_10,001-15,000","24,853","306,399,270",2.42
"20170210_15,001-20,000","14,906","268,729,100",2.12
"20170210_20,001-30,000","13,980","347,206,052",2.75
"20170210_30,001-40,000","6,384","223,846,910",1.77
"20170210_40,001-50,000","4,355","199,330,391",1.57
"20170210_50,001-100,000","7,296","516,749,485",4.09
"20170210_100,001-200,000","3,099","432,493,849",3.42
"20170210_200,001-400,000","1,315","364,895,770",2.89
"20170210_400,001-600,000",403,"199,513,373",1.58
"20170210_600,001-800,000",152,"105,047,254",0.83
"20170210_800,001-1,000,000",113,"102,562,569",0.81
"20170210_1,000,001以上",591,"8,428,991,806",66.76
20170203_1-999,"192,849","62,422,742",0.49
"20170203_1,000-5,000","237,132","565,313,246",4.47
"20170203_5,001-10,000","66,383","498,886,453",3.95
"20170203_10,001-15,000","24,871","306,647,001",2.42
"20170203_15,001-20,000","14,852","267,681,240",2.12
