date_level,population,stock number,total portion
20170609_1-999,"6,833","79,804",0.07
"20170609_1,000-5,000",415,"815,314",0.79
"20170609_5,001-10,000",109,"761,847",0.74
"20170609_10,001-15,000",47,"579,434",0.56
"20170609_15,001-20,000",30,"507,595",0.49
"20170609_20,001-30,000",43,"1,078,881",1.05
"20170609_30,001-40,000",33,"1,173,489",1.14
"20170609_40,001-50,000",24,"1,096,370",1.07
"20170609_50,001-100,000",92,"6,341,032",6.20
"20170609_100,001-200,000",36,"4,679,928",4.57
"20170609_200,001-400,000",15,"4,044,278",3.95
"20170609_400,001-600,000",6,"2,981,791",2.91
"20170609_600,001-800,000",3,"2,050,991",2.00
"20170609_800,001-1,000,000",3,"2,684,238",2.62
"20170609_1,000,001以上",21,"73,375,520",71.76
20170603_1-999,"6,835","79,584",0.07
"20170603_1,000-5,000",413,"811,534",0.79
"20170603_5,001-10,000",109,"761,847",0.74
"20170603_10,001-15,000",47,"579,434",0.56
"20170603_15,001-20,000",30,"508,595",0.49
"20170603_20,001-30,000",43,"1,078,881",1.05
"20170603_30,001-40,000",33,"1,173,489",1.14
"20170603_40,001-50,000",24,"1,096,370",1.07
"20170603_50,001-100,000",92,"6,344,032",6.20
"20170603_100,001-200,000",36,"4,679,928",4.57
"20170603_200,001-400,000",15,"4,044,278",3.95
"20170603_400,001-600,000",6,"2,981,791",2.91
"20170603_600,001-800,000",3,"2,050,991",2.00
"20170603_800,001-1,000,000",3,"2,684,238",2.62
"20170603_1,000,001以上",21,"73,375,520",71.76
20170526_1-999,"6,839","79,805",0.07
"20170526_1,000-5,000",411,"810,314",0.79
"20170526_5,001-10,000",109,"761,847",0.74
"20170526_10,001-15,000",46,"564,681",0.55
"20170526_15,001-20,000",31,"524,348",0.51
"20170526_20,001-30,000",43,"1,078,881",1.05
"20170526_30,001-40,000",33,"1,173,489",1.14
"20170526_40,001-50,000",24,"1,096,369",1.07
"20170526_50,001-100,000",92,"6,344,032",6.20
"20170526_100,001-200,000",36,"4,679,928",4.57
"20170526_200,001-400,000",15,"4,044,278",3.95
"20170526_400,001-600,000",6,"2,981,791",2.91
"20170526_600,001-800,000",3,"2,050,991",2.00
"20170526_800,001-1,000,000",3,"2,684,238",2.62
"20170526_1,000,001以上",21,"73,375,520",71.76
20170519_1-999,"6,842","81,222",0.07
"20170519_1,000-5,000",410,"807,897",0.79
"20170519_5,001-10,000",108,"752,767",0.73
"20170519_10,001-15,000",47,"574,761",0.56
"20170519_15,001-20,000",31,"523,348",0.51
"20170519_20,001-30,000",43,"1,079,881",1.05
"20170519_30,001-40,000",33,"1,173,489",1.14
"20170519_40,001-50,000",24,"1,096,369",1.07
"20170519_50,001-100,000",92,"6,344,032",6.20
"20170519_100,001-200,000",36,"4,679,928",4.57
"20170519_200,001-400,000",15,"4,044,278",3.95
"20170519_400,001-600,000",6,"2,981,791",2.91
"20170519_600,001-800,000",3,"2,050,991",2.00
"20170519_800,001-1,000,000",3,"2,684,238",2.62
"20170519_1,000,001以上",21,"73,375,520",71.76
20170512_1-999,"6,841","81,917",0.08
"20170512_1,000-5,000",412,"810,977",0.79
"20170512_5,001-10,000",107,"745,767",0.72
"20170512_10,001-15,000",48,"588,872",0.57
"20170512_15,001-20,000",31,"523,348",0.51
"20170512_20,001-30,000",42,"1,053,106",1.02
"20170512_30,001-40,000",32,"1,139,378",1.11
"20170512_40,001-50,000",24,"1,096,369",1.07
"20170512_50,001-100,000",93,"6,394,032",6.25
"20170512_100,001-200,000",36,"4,679,928",4.57
"20170512_200,001-400,000",15,"4,044,278",3.95
"20170512_400,001-600,000",6,"2,981,791",2.91
"20170512_600,001-800,000",3,"2,050,991",2.00
"20170512_800,001-1,000,000",3,"2,684,238",2.62
"20170512_1,000,001以上",21,"73,375,520",71.76
20170505_1-999,"6,841","81,032",0.07
"20170505_1,000-5,000",413,"814,977",0.79
"20170505_5,001-10,000",107,"745,767",0.72
"20170505_10,001-15,000",47,"573,475",0.56
"20170505_15,001-20,000",32,"538,745",0.52
"20170505_20,001-30,000",42,"1,048,106",1.02
"20170505_30,001-40,000",32,"1,139,378",1.11
"20170505_40,001-50,000",24,"1,096,254",1.07
"20170505_50,001-100,000",93,"6,394,032",6.25
"20170505_100,001-200,000",36,"4,679,928",4.57
"20170505_200,001-400,000",15,"4,046,278",3.95
"20170505_400,001-600,000",6,"2,981,791",2.91
"20170505_600,001-800,000",3,"2,050,991",2.00
"20170505_800,001-1,000,000",3,"2,684,238",2.62
"20170505_1,000,001以上",21,"73,375,520",71.76
20170428_1-999,"6,833","80,291",0.07
"20170428_1,000-5,000",419,"827,829",0.80
"20170428_5,001-10,000",107,"745,767",0.72
"20170428_10,001-15,000",46,"560,364",0.54
"20170428_15,001-20,000",32,"538,745",0.52
"20170428_20,001-30,000",42,"1,049,106",1.02
"20170428_30,001-40,000",32,"1,139,378",1.11
"20170428_40,001-50,000",24,"1,096,254",1.07
"20170428_50,001-100,000",93,"6,394,032",6.25
"20170428_100,001-200,000",36,"4,679,928",4.57
"20170428_200,001-400,000",15,"4,046,278",3.95
"20170428_400,001-600,000",6,"2,981,791",2.91
"20170428_600,001-800,000",3,"2,050,991",2.00
"20170428_800,001-1,000,000",3,"2,684,238",2.62
"20170428_1,000,001以上",21,"73,375,520",71.76
20170421_1-999,"6,819","80,231",0.07
"20170421_1,000-5,000",419,"829,015",0.81
"20170421_5,001-10,000",106,"738,687",0.72
"20170421_10,001-15,000",46,"560,364",0.54
"20170421_15,001-20,000",32,"539,745",0.52
